1680,270,3360,1024,4096
1210,340,2420,128,512
890,80,1780,128,2048
1900,160,3800,1024,1024
1790,480,3580,32,4096
1240,260,2480,1024,512
1360,640,2720,64,1024
1300,120,2600,512,1024
650,175,1300,256,4096
810,400,1620,512,2048
1100,510,2200,128,512
690,175,1380,256,1024
1740,230,3480,512,512
630,160,1260,32,2048
680,175,1360,32,2048
590,275,1180,1024,512
680,295,1360,256,512
1040,110,2080,64,1024
830,160,1660,128,4096
1870,280,3740,32,2048
1030,80,2060,64,512
610,195,1220,64,512
1840,270,3680,64,4096
1970,160,3940,32,1024
1050,180,2100,128,1024
490,160,980,32,4096
740,245,1480,1024,1024
990,350,1980,32,2048
1310,650,2620,1024,2048
740,110,1480,128,4096
1330,540,2660,32,1024
1510,530,3020,128,2048
670,210,1340,512,4096
500,170,1000,512,512
800,220,1600,256,2048
840,240,1680,512,1024
1020,130,2040,1024,1024
1160,190,2320,32,1024
440,160,880,64,4096
740,90,1480,32,4096
1660,210,3320,64,512
340,80,680,512,4096
1880,340,3760,512,512
1540,50,3080,1024,4096
1130,320,2260,256,4096
1280,170,2560,32,1024
700,110,1400,1024,2048
1080,250,2160,512,1024
1940,350,3880,64,4096
1230,110,2460,256,1024
1190,350,2380,1024,512
690,260,1380,512,2048
1130,240,2260,1024,4096
1360,90,2720,128,512
1460,240,2920,128,1024
970,80,1940,256,2048
920,380,1840,64,512
1980,550,3960,512,4096
360,115,720,256,4096
1810,100,3620,256,2048
1860,100,3720,64,512
1660,560,3320,32,1024
460,160,920,128,2048
740,200,1480,128,4096
870,120,1740,512,4096
1460,590,2920,512,4096
530,135,1060,512,2048
1530,240,3060,32,1024
480,135,960,32,4096
1410,50,2820,256,1024
1140,80,2280,64,512
1630,490,3260,1024,1024
1520,440,3040,1024,2048
1840,390,3680,64,2048
1820,530,3640,512,4096
870,255,1740,1024,4096
1490,560,2980,256,4096
630,240,1260,1024,2048
350,125,700,1024,4096
1570,410,3140,256,512
1150,310,2300,512,512
1120,90,2240,256,1024
1840,560,3680,32,2048
1340,270,2680,128,2048
1350,450,2700,256,4096
1760,530,3520,256,2048
1670,110,3340,128,1024
1280,130,2560,1024,2048
610,205,1220,512,2048
710,185,1420,1024,512
1810,630,3620,128,4096
340,142,680,256,512
1130,530,2260,1024,1024
580,80,1160,1024,1024
1970,90,3940,512,1024
1510,100,3020,64,2048
1150,570,2300,256,512
1100,335,2200,32,1024
400,500,800,128,512
1460,130,2920,512,512
370,520,740,1024,1024
420,120,840,512,4096
1190,120,2380,128,1024
460,470,920,512,1024
1690,260,3380,128,512
1690,480,3380,1024,4096
1530,540,3060,1024,1024
550,430,1100,1024,4096
1420,530,2840,128,2048
1180,200,2360,128,1024
1960,530,3920,64,4096
1400,690,2800,512,4096
1660,620,3320,1024,1024
1070,100,2140,1024,4096
1030,290,2060,256,4096
1710,290,3420,256,1024
440,500,880,32,1024
520,440,1040,1024,2048
590,570,1180,128,4096
960,290,1920,64,2048
1720,180,3440,1024,1024
1670,100,3340,512,2048
