# failsafe unroll snumreg sdivint sdivindm f_central time_sampling nchans dmstep n_dmtrials nTimeProcessed Corner_Turn Dedispersion Host_To_Device total total
1 4 2 30 15 1400 0.000256 4096 1 510 466680 85.1153 1057.42 2536.6 3679.23 3679.33
1 4 2 30 15 1400 0.000256 4096 2 510 464880 85.4129 1054.17 2550.27 3689.94 3690.05
1 4 2 32 15 1400 0.000256 4096 0.1 510 468352 84.9123 1015.09 2518.24 3618.34 3618.44
1 4 2 32 15 1400 0.000256 4096 0.2 510 468224 84.9336 1015.91 2519.5 3620.43 3620.54
1 4 2 32 15 1400 0.000256 4096 0.5 510 467584 85.0006 1014.4 2524.93 3624.42 3624.53
1 4 2 32 15 1400 0.000256 4096 1 510 466688 85.1409 1013.29 2530.71 3629.24 3629.34
1 4 2 32 15 1400 0.000256 4096 2 510 464896 85.4127 1009.09 2537.5 3632.09 3632.2
1 4 2 48 15 1400 0.000256 4096 0.1 510 468288 84.9265 1182.29 2524.42 3791.73 3791.83
1 4 2 48 15 1400 0.000256 4096 0.2 510 468096 84.9052 1178.67 2525.33 3788.99 3789.09
1 4 2 48 15 1400 0.000256 4096 0.5 510 467520 85.0105 1172.22 2528.22 3785.55 3785.65
1 4 2 48 15 1400 0.000256 4096 1 510 466560 85.1428 1169.47 2532.98 3787.69 3787.79
1 4 2 48 15 1400 0.000256 4096 2 510 464832 85.446 1166.13 2550.25 3801.91 3802.01
1 4 2 50 15 1400 0.000256 4096 0.1 510 468200 84.9035 1229.28 2526.06 3840.34 3840.45
1 4 2 50 15 1400 0.000256 4096 0.2 510 468000 84.8917 1209.34 2526.75 3821.06 3821.17
1 4 2 50 15 1400 0.000256 4096 0.5 510 467600 85.0626 1187.96 2533.87 3806.98 3807.08
1 4 2 50 15 1400 0.000256 4096 1 510 466600 85.1256 1184.92 2535.03 3805.17 3805.27
1 4 2 50 15 1400 0.000256 4096 2 510 464800 85.4154 1171.57 2545.25 3802.32 3802.41
1 4 2 64 15 1400 0.000256 4096 0.1 510 468224 84.9237 1081.77 2524.72 3691.51 3691.61
1 4 2 64 15 1400 0.000256 4096 0.2 510 467968 84.9837 1082.11 2525.33 3692.52 3692.63
1 4 2 64 15 1400 0.000256 4096 0.5 510 467456 85.0725 1081.82 2528.54 3695.52 3695.62
1 4 2 64 15 1400 0.000256 4096 1 510 466432 85.1321 1079.33 2533 3697.55 3697.65
1 4 2 64 15 1400 0.000256 4096 2 510 464640 85.4314 1074.86 2543.23 3703.61 3703.72
1 4 2 8 20 1400 0.000256 4096 0.1 520 468512 84.8934 835.32 2517.85 3438.16 3438.26
1 4 2 8 20 1400 0.000256 4096 0.2 520 468320 84.9122 836.519 2518.81 3440.33 3440.45
1 4 2 8 20 1400 0.000256 4096 0.5 520 467744 84.9974 836.154 2522.05 3443.3 3443.4
1 4 2 8 20 1400 0.000256 4096 1 520 466816 85.0945 834.617 2529.04 3448.86 3448.96
2 4 2 8 20 1400 0.000256 4096 2 520 464928 85.471 1748.51 2539.64 4373.71 4373.81
1 4 2 10 20 1400 0.000256 4096 0.1 520 468520 84.9224 942.461 2517.53 3545.02 3545.11
1 4 2 10 20 1400 0.000256 4096 0.2 520 468320 84.8823 944.215 2518.46 3547.65 3547.76
1 4 2 10 20 1400 0.000256 4096 0.5 520 467760 85.037 944.309 2524.44 3553.88 3553.98
1 4 2 10 20 1400 0.000256 4096 1 520 466800 85.1128 942.821 2526.49 3554.52 3554.62
1 4 2 10 20 1400 0.000256 4096 2 520 464920 85.4029 941.697 2536.64 3563.83 3563.93
1 4 2 12 20 1400 0.000256 4096 0.1 520 468480 84.8887 874.358 2515.06 3474.41 3474.51
1 4 2 12 20 1400 0.000256 4096 0.2 520 468288 84.893 875.622 2516.54 3477.14 3477.25
1 4 2 12 20 1400 0.000256 4096 0.5 520 467712 84.9994 875.248 2523.16 3483.5 3483.6
1 4 2 12 20 1400 0.000256 4096 1 520 466800 85.0885 874.645 2526.05 3485.88 3485.98
1 4 2 12 20 1400 0.000256 4096 2 520 464928 85.3987 871.732 2543.51 3500.74 3500.84
1 4 2 14 20 1400 0.000256 4096 0.1 520 468496 84.8994 887.312 2517.59 3489.89 3489.99
1 4 2 14 20 1400 0.000256 4096 0.2 520 468272 84.9087 889.047 2518.37 3492.42 3492.53
1 4 2 14 20 1400 0.000256 4096 0.5 520 467712 84.9817 888.003 2524.88 3497.95 3498.06
1 4 2 14 20 1400 0.000256 4096 1 520 466760 85.1182 887.451 2529.78 3502.44 3502.54
1 4 2 14 20 1400 0.000256 4096 2 520 464912 85.4281 891.505 2539.14 3516.16 3516.26
1 4 2 16 20 1400 0.000256 4096 0.1 520 468480 84.9256 849.779 2517.54 3452.34 3452.45
1 4 2 16 20 1400 0.000256 4096 0.2 520 468288 84.9141 852.835 2518.51 3456.35 3456.46
1 4 2 16 20 1400 0.000256 4096 0.5 520 467712 85.0049 872.176 2523.16 3480.43 3480.57
1 4 2 16 20 1400 0.000256 4096 1 520 466752 85.0827 891.516 2531.09 3507.79 3507.89
1 4 2 16 20 1400 0.000256 4096 2 520 464896 85.4115 901.583 2536.81 3523.9 3524
1 4 2 18 20 1400 0.000256 4096 0.1 520 468432 84.9106 1105.93 2517.95 3708.88 3708.99
1 4 2 18 20 1400 0.000256 4096 0.2 520 468288 84.8683 1104.54 2518.88 3708.39 3708.5
1 4 2 18 20 1400 0.000256 4096 0.5 520 467712 85.0268 1101.63 2521.84 3708.59 3708.69
1 4 2 18 20 1400 0.000256 4096 1 520 466776 85.1245 1099.3 2526.96 3711.49 3711.59
1 4 2 18 20 1400 0.000256 4096 2 520 464904 85.3943 1093.64 2537.14 3716.26 3716.37
1 4 4 18 20 1400 0.000256 4096 0.1 520 468288 84.913 769.147 2517.98 3372.14 3372.24
1 4 4 18 20 1400 0.000256 4096 0.2 520 468144 84.9017 767.58 2519.22 3371.79 3371.9
1 4 4 18 20 1400 0.000256 4096 0.5 520 467568 85.0142 765.124 2522.2 3372.43 3372.53
1 4 4 18 20 1400 0.000256 4096 1 520 466704 85.1734 762.768 2527.7 3375.74 3375.84
1 4 4 18 20 1400 0.000256 4096 2 520 464832 85.4907 759.76 2537.88 3383.22 3383.32
1 4 2 20 20 1400 0.000256 4096 0.1 520 468480 84.9349 1077.55 2518 3680.58 3680.68
1 4 2 20 20 1400 0.000256 4096 0.2 520 468240 84.8835 1073.99 2520.14 3679.1 3679.21
1 4 2 20 20 1400 0.000256 4096 0.5 520 467680 85.0091 1066.33 2526.76 3678.19 3678.29
1 4 2 20 20 1400 0.000256 4096 1 520 466720 85.1189 1064.26 2529.01 3678.48 3678.58
1 4 2 20 20 1400 0.000256 4096 2 520 464880 85.4043 1061.72 2543.9 3691.12 3691.23
1 4 4 20 20 1400 0.000256 4096 0.1 520 468320 84.8901 753.935 2539.82 3378.74 3378.84
1 4 4 20 20 1400 0.000256 4096 0.2 520 468160 84.9495 750.279 2540.97 3376.29 3376.4
1 4 4 20 20 1400 0.000256 4096 0.5 520 467520 84.9842 742.217 2543.63 3370.92 3371.02
1 4 4 20 20 1400 0.000256 4096 1 520 466560 85.0992 740.309 2548.65 3374.15 3374.26
1 4 4 20 20 1400 0.000256 4096 2 520 464800 85.4867 738.392 2559.55 3383.52 3383.61
1 4 2 24 20 1400 0.000256 4096 0.1 520 468384 84.9039 1021.58 2525.66 3632.24 3632.34
1 4 2 24 20 1400 0.000256 4096 0.2 520 468192 84.9096 1013.88 2526.63 3625.5 3625.62
1 4 2 24 20 1400 0.000256 4096 0.5 520 467616 84.9933 1002.1 2529.62 3616.81 3616.91
1 4 2 24 20 1400 0.000256 4096 1 520 466752 85.098 998.61 2535.14 3618.94 3619.04
1 4 2 24 20 1400 0.000256 4096 2 520 464832 85.4244 997.574 2550.83 3633.92 3634.02
1 4 4 24 20 1400 0.000256 4096 0.1 520 468288 84.9265 731.999 2517.9 3334.92 3335.03
1 4 4 24 20 1400 0.000256 4096 0.2 520 468096 84.9079 722.727 2519.35 3327.07 3327.18
1 4 4 24 20 1400 0.000256 4096 0.5 520 467520 85.0277 712.49 2526.25 3323.86 3323.97
1 4 4 24 20 1400 0.000256 4096 1 520 466560 85.1292 709.512 2528.66 3323.4 3323.5
1 4 4 24 20 1400 0.000256 4096 2 520 464640 85.4364 706.176 2536.73 3328.43 3328.53
1 4 2 25 20 1400 0.000256 4096 0.1 520 468400 84.9218 1045.53 2514.85 3645.39 3645.49
1 4 2 25 20 1400 0.000256 4096 0.2 520 468200 84.9377 1043.56 2536.23 3664.82 3664.93
1 4 2 25 20 1400 0.000256 4096 0.5 520 467700 84.9991 1041.57 2519.16 3645.82 3645.92
1 4 2 25 20 1400 0.000256 4096 1 520 466700 85.1402 1038.83 2523.91 3647.97 3648.07
1 4 2 25 20 1400 0.000256 4096 2 520 464800 85.4231 1035.34 2534.01 3654.86 3654.96
1 4 4 25 20 1400 0.000256 4096 0.1 520 468200 84.9044 732.956 2517.21 3335.17 3335.27
1 4 4 25 20 1400 0.000256 4096 0.2 520 468000 84.9282 732.807 2518.11 3335.93 3336.04
1 4 4 25 20 1400 0.000256 4096 0.5 520 467600 85.0905 730.466 2522.29 3337.94 3338.04
1 4 4 25 20 1400 0.000256 4096 1 520 466600 85.1763 728.655 2530.9 3344.83 3344.94
1 4 4 25 20 1400 0.000256 4096 2 520 464600 85.4211 726.112 2536.63 3348.25 3348.35
1 4 2 28 20 1400 0.000256 4096 0.1 520 468384 84.8896 1324.32 2515.4 3924.7 3924.8
