1670,160,3340,128,2048
1100,50,2200,32,512
1580,290,3160,512,2048
980,170,1960,256,2048
1960,480,3920,512,4096
1980,460,3960,512,1024
1770,230,3540,32,512
930,60,1860,1024,512
1050,350,2100,128,2048
680,215,1360,512,4096
1630,490,3260,512,2048
1800,70,3600,512,1024
1850,250,3700,32,4096
1230,310,2460,128,2048
1300,360,2600,256,4096
510,190,1020,1024,512
1830,340,3660,1024,512
1040,380,2080,1024,4096
610,220,1220,256,4096
1830,310,3660,256,4096
1590,100,3180,1024,1024
1800,70,3600,32,512
750,250,1500,1024,4096
1430,180,2860,128,4096
1410,320,2820,32,1024
460,122,920,512,512
960,130,1920,32,1024
730,130,1460,32,4096
1510,200,3020,256,4096
740,235,1480,64,2048
1820,220,3640,64,2048
1700,170,3400,128,1024
930,110,1860,128,2048
1120,230,2240,128,4096
1470,220,2940,256,1024
1710,110,3420,64,1024
1320,250,2640,64,1024
1260,90,2520,32,1024
820,165,1640,64,2048
1050,50,2100,512,4096
1500,310,3000,64,4096
1800,410,3600,512,2048
1510,150,3020,512,1024
280,62,560,512,2048
1430,310,2860,512,512
1020,70,2040,64,512
1020,270,2040,64,512
450,170,900,256,512
1680,150,3360,64,2048
820,215,1640,512,512
680,245,1360,512,4096
850,215,1700,256,2048
910,280,1820,64,4096
1210,170,2420,512,1024
1230,390,2460,64,2048
940,150,1880,128,4096
950,245,1900,128,2048
1150,330,2300,256,1024
1400,320,2800,1024,4096
1920,120,3840,512,512
1520,90,3040,1024,1024
950,160,1900,64,4096
1710,440,3420,256,1024
480,115,960,32,1024
350,92,700,512,512
390,95,780,256,4096
530,150,1060,1024,512
820,310,1640,1024,1024
780,210,1560,1024,4096
270,57,540,128,1024
1200,250,2400,32,2048
410,90,820,256,2048
500,190,1000,64,2048
1360,280,2720,64,512
1760,70,3520,64,2048
1960,380,3920,32,512
1250,300,2500,512,4096
2000,290,4000,512,1024
1220,430,2440,256,4096
1150,440,2300,128,512
830,205,1660,512,2048
1000,190,2000,256,4096
1110,250,2220,1024,512
370,97,740,1024,512
1810,100,3620,128,512
360,100,720,256,2048
1010,170,2020,128,2048
1700,290,3400,256,512
940,245,1880,512,4096
1320,370,2640,512,2048
1690,190,3380,32,512
1800,180,3600,512,512
1880,440,3760,32,512
580,230,1160,128,4096
700,170,1400,512,512
1830,160,3660,512,512
1290,90,2580,128,512
1130,430,2260,512,512
1320,310,2640,1024,4096
1690,480,3380,64,2048
1180,70,2360,32,2048
600,155,1200,64,2048
1040,180,2080,128,2048
1000,215,2000,64,1024
1950,130,3900,1024,2048
1340,250,2680,32,512
1470,230,2940,256,512
1510,430,3020,32,512
860,180,1720,1024,4096
1150,140,2300,64,4096
1220,190,2440,256,512
520,110,1040,1024,1024
1230,350,2460,128,2048
1470,310,2940,32,1024
1000,120,2000,64,4096
